word,hyphenation,tune
arda,ar-da,
arde,ar-de,
ardea,ar-de-a--,"[False, False, False, False, False]"
ardendo,ar-den-do,
ardente,ar-dèn-te,"[False, True, False]"
ardenti,ar-den-ti,
arder,ar-der,
ardere,àr-de-re,"[True, False, False]"
arderebbe,ar-de-reb-be,
ardesse,ar-des-se,
ardesser,ar-des-ser,
ardeva,ar-de-va,
ardi,ar-di,
ardimento,ar-di-mén-to,"[False, False, True, False]"
ardinghi,ar-din-ghi,
ardir,ar-dir,
ardire,ar-dì-re,"[False, True, False]"
ardirei,ar-di-re-i,
arditamente,ar-di-ta-mén-te,"[False, False, False, True, False]"
ardite,ar-di-te,
ardito,ar-dì-to,"[False, True, False]"
ardiva,ar-di-va,
ardo,àrd-o,"[True, False]"
ardor,ar-dor,
ardore,ar-dó-re,"[False, True, False]"
ardori,ar-do-ri,
are,àr-e,"[True, False]"
aresta,a-re-sta,
aresto,a-re-sto,
aretini,a-re-ti-ni,
arezzo,a-rez-zo,
argenti,ar-gen-ti,
argento,ar-gèn-to,"[False, True, False]"
argia,ar-gì-a,"[False, True, False]"
argine,àr-gi-ne,"[True, False, False]"
argini,ar-gi-ni,
argogliosi,ar-go-glio-si,
argolica,ar-go-li-ca,
argomenta,ar-go-men-ta,
argomentare,ar-go-men-tà-re,"[False, False, False, True, False]"
argomenti,ar-go-men-ti,
argomento,ar-go-mén-to,"[False, False, True, False]"
argusso,ar-gus-so,
arguta,ar-gu-ta,
arguto,ar-gù-to,"[False, True, False]"
arida,a-ri-da,
ariete,a-rie-te------,"[False, False, False, False, False, False, False, False, False]"
aritropia,a-ri-tro-pia,
arivata,a-ri-va-ta,
arivato,a-ri-va-to,
arli,a-rli,
armadura,ar-ma-dù-ra,"[False, False, True, False]"
armata,ar-mà-ta,"[False, True, False]"
armati,ar-ma-ti,
armato,ar-mà-to,"[False, True, False]"
armava,ar-ma-va,
arme,àr-me,"[True, False]"
armento,ar-mén-to,"[False, True, False]"
armi,ar-mi,
armonia,ar-mo-nia,
armonizzando,ar-mo-niz-zan-do,
arnaut,ar-na-ut,
arnese,ar-né-se,"[False, True, False]"
arno,Àr-no,"[False, False]"
aronta,a-ron-ta,
arpa,àr-pa,"[True, False]"
arpie,ar-pie,
arra,àr-ra,"[True, False]"
arrabbia,ar-rab-bia,
arredi,ar-re-di,
arricciar,ar-ric-ciar,
arridi,ar-ri-di,
arrigo,Ar-rì-go,"[False, True, False]"
